abbhakṣa+Sing+Nom	abbhakṣa
amatra+Sing+Ins	amatraā

amatra+Sing+Loc	amatrai

amatra+Sing+Nom	amatra

amauna+Sing+Acc	amaunaam

ambarīṣa+Sing+Abl	ambarīṣaaḥ

ambayā+Plur+Nom	ambayāaḥ

ambhas+Sing+Acc	ambhasam

ambhas+Sing+Ins	ambhasā

ambhas+Sing+Loc	ambhasi

ambhas+Sing+Nom	ambhas

ambi+Plur+Nom	ambiaḥ

ambikā+Sing+Ins	ambikāā

ambu+Sing+Acc	ambuam

ambuja+Sing+Acc	ambujaam

ambā+Plur+Nom	ambāaḥ

ambā+Sing+Voc	+?

ambāyavī+Plur+Nom	ambāyavīaḥ

amedhya+Sing+Nom	amedhya

amitaujas+Sing+Acc	amitaujasam

amitaujas+Sing+Nom	amitaujas

amitra+Plur+Acc	amitraaḥ

amitra+Plur+Dat	amitrabhyaḥ

amitra+Plur+Gen	amitraām

amitra+Plur+Nom	amitraaḥ

amitra+Sing+Nom	amitra

amla+Sing+Dat	amlae

amutrabhūya+Sing+Abl	amutrabhūyaaḥ

amā+Sing+Nom	amā

amājur+Plur+Nom	amājuraḥ

amājur+Sing+Gen	amājuraḥ

amājur+Sing+Nom	amājur

amārga+Sing+Ins	amārgaā

amātya+Plur+Acc	amātyaaḥ

amātya+Plur+Gen	amātyaām

amātya+Plur+Nom	amātyaaḥ

amātya+Sing+Nom	amātya

amāvasyā+Sing+Acc	amāvasyāam

amāvasyā+Sing+Loc	amāvasyāi

amāvasyā+Sing+Nom	amāvasyā

amāvasī+Sing+Loc	amāvasīi

amāvāsyā+Dual+Nom	amāvāsyāau

amāvāsyā+Plur+Loc	amāvāsyāsu

amāvāsyā+Sing+Acc	amāvāsyāam

amāvāsyā+Sing+Loc	amāvāsyāi

amāvāsyā+Sing+Nom	amāvāsyā

amāvāsī+Sing+Loc	amāvāsīi

amīvā+Sing+Acc	amīvāam

amīvā+Sing+Nom	amīvā

